text	label
脑梗塞患者要怎么办？	治疗方案方法
20年的肠溶阿司匹林怎么还会,这会是什么原因造成的呢？	病症病因
肺部纤维化，间质炎，近来干咳严重	病症治疗方法
请问什么情况下需要做子宫全切手术？	其他无法确定
我现在正在月经期，但两天前突然开始下体瘙痒还一直想上厕所，但每次都尿不多，这是怎么回事	病症临床表现(病症表现)
宝宝24小时不大便	病症病因
小孩子老是拉肚子,怎么办	病症治疗方法
请问结肠癌术后肠梗阻如何	治疗方案恢复
胃四联疗法会导致心悸吗	病症病因
现在老是会浑身发抖，犯病时还全身抽搐，现在医生让吃卡马西平，病情稍微好了一点，但是听人家说癫痫可能会遗传，请问是是真的么	病症定义
请问月经暗黑色量很少请问是不是病？	病症定义
经常出去应酬，要喝很多的酒，痔疮总是复发，有时候解大便还有血滴，去医院检查说是痔疮，有的医生说是直肠癌，到底得的什么病？	病症病因
请问经血发黑量少要怎么调理？	治疗方案方法
胃酸厉害怎么办？	病症临床表现(病症表现)
体检做彩超医生告诉有血管瘤，是良性的，请问是否要去医院看病，如果要去治的话，内蒙古婴儿长了血管瘤到哪里治疗？	病症推荐医院
脊髓炎吃巴氯芬可以吗？	药物适用症
在还是有脓水一样的分泌物。这算不算发炎。现在能不能洗澡？	其他多问
iv级心衰可以做风湿性心脏病手术吗？	病症禁忌
2个月宝宝爱手舞足蹈正常吗？有点担心宝宝又不是有多动症，求科普。	病症临床表现(病症表现)
孕妇晚上睡不着睡着也会做梦很多怎么办才好？一个晚上就像没睡着觉一样。	病症治疗方法
我爸爸有高血压症适合服用山楂降压丸(辛普露)吗	药物作用
咨询你个问题，头顶有点涨，眼睛有点涨，刚才在家量血压是95—140，这个症状一阵一阵的3天了，明天想去医院看看该往哪个方向去看。哪种情况会出现这种症状	病症临床表现(病症表现)
压力过大会头疼恶心？为什么我孩子最近老是说不舒服？是不是因为学习压力大啊？15岁孩子一天要睡多少？	其他多问
我有哮喘病很多年了，最近身体老不舒服，想问一下吃什么可以增强免疫力，吃什么药可以治疗哮喘	其他多问
请问我能长期服用拉西地平片吗不会有什么不适吧	药物副作用
正常人会心悸吗	其他多问
停止服用枸橼酸坦度螺酮片有什么坏处吗	药物副作用
什么是先天性心脏病的介入治疗？	治疗方案方法
女宝10个月，应该是洗澡完不肯穿衣服，我发现她腰部有红点，越长越大，今天是第二天，去诊断是血管瘤，内蒙古婴儿长在腰部的血管瘤咋治？	病症治疗方法
脑挫裂伤怎么办	病症治疗方法
难入睡…经常失眠…很难受…	其他无法确定
请问我能长期服用洛赛克奥美拉唑镁肠溶片吗不会有什么不适吧	药物副作用
请问月经延迟10天是怎么回事？	病症病因
您好！21金维他糖尿病高血压病老人可以服用吗？容易过敏吗	其他多问
和牛黄上清胶囊能一起吃吗？冶喉咙有痰也有火不知道那个治疗比较合适	病症治疗方法
近期有复发的迹象，朋友说要预防中风的话可以吃多肽	病症治疗方法
您好，我想问问醒脾养儿颗粒治什么病？请尽快答复，谢谢！	药物适用症
你好，我母亲刚做完脑瘤手术，可以吃中风回春丸吗？	药物适用症
我今年3月刚做了甲状腺结节（恶性）手术，切了一侧，比较害怕。我妈这个是甲状腺炎，感觉要轻一些吧，今天让医大医生看了下结果就说了句没事（人实在是太多了），我不放心，所以再仔细问问。1.还是去挂甲状腺外科得号，抽血化验（甲状腺球蛋白抗体和过氧化物酶抗体），是吧？2.我妈甲减的话，是不是就是也吃“优甲乐”？	病症治疗方法
患者50岁女最近两天老是便秘有痔疮便血多便秘是痔疮引起的么？便秘怎么能快速缓解？	其他多问
小孩癫痫可以特别巨大的影响小孩子以后的成长，所以家长一定要尽快带患上癫痫病的孩子尽快去医院治疗。现在治好癫痫已经不像以前那样难了，有许多的方法可以帮助癫痫病病人减轻痛苦，可以使得病患及早恢复健康。那么小孩癫痫的治疗手段你晓得吗?	病症治疗方法
宝宝昨天吃了甘草锌颗粒和鱼甘油今天也吃了鱼甘油今天能吃感冒药吗	病症治疗方法
颅脑火器性损伤易发人群有哪些	其他无法确定
我听说只要我吃了一个疗程的佐匹克隆就会使我的失眠症状好起来是不是真的呢？	药物适用症
有胃炎和十二直肠溃疡要怎么办？	病症治疗方法
我血糖高可以服用五加参归芪精吗，血压正常，血脂也正常。	药物适用症
吃完氯雷他定片头痛怎么	药物副作用
我是安徽宣城的请问那里有卖舒筋健腰丸	其他无法确定
请问草酸艾司西酞普兰片是国产的还是进口的吗	其他无法确定
宝宝晚上睡觉突然发抖正常吗？大家的宝宝有没有这个现象啊，都是怎么缓解的啊	病症临床表现(病症表现)
癫痫病的局限性发作是怎样的?癫痫病是一类多见的脑病，因脑神经元异常放电致使中枢神经系统功能失调。肢体痉挛、口吐白沫、感染障碍等产癫痫病发作的常见病情症状表现。但癫痫病人发作的部位和类型各不相同，局限性发作是癫痫发作的一类型，那它有什么特点呢?	其他多问
现在发现出血医生诊断为海绵体血管瘤，该怎么治疗,现在孩子才4个多月大，内蒙古婴儿长有血管瘤治疗要多长时间？	治疗方案恢复时间
痔疮出血怎么办？请大夫给个药方，谢谢，3天了	病症治疗方法
多发性腔隙性脑梗死的病因是什么？	病症病因
强迫症孩子睡眠会有影响吗	病症严重性
我在哺乳期喉咙发痒咳嗽可以吃热炎宁颗粒和北豆根分散片吗？	药物禁忌
怎么治疗颅骨缺损	病症治疗方法
请问真实怀孕的日期怎样来计算？	其他无法确定
我孩子脚底发热有七个月时间了自从做了左脚有血管瘤之后才热的，左脚慢慢延伸到右脚底，内蒙古婴儿长在脚底的血管瘤有没有危害？	病症严重性
最近总是觉得胸闷气短，还时不时的胸口疼，去医院做了检查，结果显示我得了不稳定性心绞痛，之前生病觉得有些偏方挺管用的，所以想问问，有什么偏方可以治疗不稳定性心绞痛？	病症治疗方法
尿频尿痛是怎么回事？	病症病因
有子宫肌瘤的症状，应立即采取什么行动？动手术治疗子宫肌瘤的效果咋样？	治疗方案疗效
四个月小孩十天左右排便一次是病吗？	病症严重性
尿液中泡沫多，，，没有其他什么症状感觉，是怎么回事们应该吃点什么药呢	其他多问
我和我男朋友同居快两年了，我们一直在外租房住的，前天我发现我阴部起了好多的小疙瘩，有点象疣，我昨天去医院检查结果就是尖锐湿疣，我知道这是性病，也不知道这个病怎么治效果好？	病症临床表现(病症表现)
四川没有癫痫治疗的专门医院吗？我奶奶得癫痫病有两年多了，两年以来一直用药物来控制癫痫，控制的还可以，但是我奶奶年龄比较大了，承受不了这种痛苦，想咨询一下有什么办法可以彻底治好癫痫？	其他多问
回来一个多月体重增了十几斤，请问巴米尔是不是带激素成份	药物成分
先天性肌病的病因是什么	病症病因
爷爷患有糖尿病多年了，现在医生建议服用阿卡波糖胶囊，阿卡波糖胶囊降糖效果怎么样呢？服用多久血糖能控制呢？	治疗方案疗效
我有甲亢但是好了能吃乳核散结片	其他无法确定
带环后通常肚子会痛几天	其他无法确定
中年妇女心慌心悸是更年期吗	病症定义
我们朋友们最害怕的事情就是一些顽固疾病的到来，当了解了这些顽疾人们更是要主动的发现，由于癫痫的出现是会比较的严重，这病人们也是要主动的做好了解，在尽快的了解合理的检查，那么，癫痫病病人的检查有些什么环节?	治疗方案化验/体检方案
运动性哮喘能治得好吗?	病症治愈率
多年的外痔怎么能根治？	病症治疗方法
小儿脊髓损伤的病因是什么	病症病因
窦性心律，电轴中度左偏	其他无法确定
有痔疮老便秘怎么办	病症治疗方法
癫痫的发作很忽然，是以对患者的伤害是巨大的。癫痫患者每次发作都会给他们的脑神经造成难以修复的伤害、巨大的影响了他们的健康。	病症定义
这几天总感觉支气管不太好，经常都想咳嗽，有糖尿病的人可不可以喝强力枇杷露？	药物禁忌
老是想上厕所是什么原因？	病症病因
怀孕期有痔疮怎么办	病症治疗方法
做了两回痔疮，怎么还没有好？请问有什么好法吗？	其他多问
请问德巴金丙戊酸钠缓释片的保质期是多长时间，可以用于双相情感障碍吗	其他多问
存在严重失眠的情况，如今每日都在口服艾司唑仑该咋办的呀？	病症治疗方法
急，孩子吐奶。	病症病因
现在就是焦虑得情况，现在服用盐酸氟西汀胶囊行吗	药物适用症
请问各位专家，脑供血不足喝益脑胶囊可不可以	病症治疗方法
请问小孩应该学习手心算吗？这样对孩子利弊是什么呢？平时应该怎么样教育孩子呢？	其他无法确定
手上血管瘤怎么治	病症治疗方法
癫痫的治疗是一个长期的过程，癫痫要怎么治疗跟癫痫的病情症状有巨大的关系。癫痫病人很容易出现癫痫持续状态，癫痫持续状态的危害很严重，对危害癫痫癫痫病病人的生命安全。那么癫痫持续状态护理都有哪些	治疗方案化验/体检方案
同仁堂跌打丸一次要吃几粒，吃多久才会有效？	药物用法
定坤丹的服用方法，吃多少为一个疗程	药物用法
复方萘普生栓、硝酸甘油片有什么注意事项吗?	药物禁忌
脸上的青春痘很多，几年下不去，有时还很痒从12岁至今	病症临床表现(病症表现)
我23岁因为情绪激动,导致脑出血,现在治疗了却偏瘫,情绪一激动就会开始癫痫,朋友建议我去寻求中医治疗方法,听说这个很有效果,所以优点是什么	治疗方案疗效
你好：前段时间做心电图，医生说我心脏供血不足，请问我可以服用复方丹参片吗？	药物适用症
您好，天麻素胶囊可以治枕大神经痛吗？	药物作用
脑发育不全性脑积水易发人群有哪些	其他无法确定
有高血压心脏病，糖尿病，每天吃1片地巴唑，已经几年了，应没什么坏作用吧	药物副作用
5个月宝宝连续两周拉肚子怎么办？	病症治疗方法
我最近睡不好，也不是失眠，只是睡得不深，容易醒，容易做梦。睡得浅，白天精神不好。可以吃百乐眠胶囊管用吗？	药物适用症
脑瘤传染吗	病症传染性
你好，病人最近言语不清，不能动，已经有一年了，可以用安宫牛黄丸治疗吗?	药物适用症
请问丙戊酸镁缓释片和丙戊酸镁片又什么不一样的吗？还有就是拉莫三嗪片能不能和丙戊酸镁一起服用啊！	其他多问
股骨颈骨折术后六个月，开始双拐，现在单拐一段时间，如果不用拐为什么感觉两个腿走路不平衡	病症临床表现(病症表现)
毛鸡补血酒对腰椎突出有帮助吗？毛鸡补血酒对腰椎突出有帮助吗？	药物适用症
做的四维检查医生说胎儿肺动脉主干内径较主动脉内径略窄会有什么问题	病症治疗方法
说明书说去掉前给要器一端的保护冒，内痔患者将给药器直接插入肛门，可插进去，按不出来药，取出来还是原样，怎么回事？痔疮净怎么使用？	其他多问
尿常规正常能排除慢性尿道炎吗	病症定义
阜阳有没有癫痫专科医院？？身体一直都很好的，前几天出去游玩，突然就全身抽搐，口吐白沫，当时感觉十分的难受，家人急忙送我去医院，医生说我患有羊癫疯，想治疗能治疗羊癫疯的药物。	病症推荐医院
听医生说，伊来西胺片疗效很不好，现在该医院已经停用该药3年了，可以换什么药好呢	药物适用症
癫痫是由于大脑神经细胞群复方超同步异常放电所致的复方性、发作性、较短暂性中枢神经系统功能失常为特性大脑顽疾，临床上多见的病情症状：忽然失去意识、四肢抽搐、口吐白沫、双目上翻等。	病症临床表现(病症表现)
咳嗽将近一月，无痰干咳，遇冷气就想咳嗽，拍片查血无异常，医生诊断为过敏性咳嗽，喝了4瓶肺力咳合剂减轻，请问:可以服用易坦静口服液吗？	药物用法
孩子大便有血，吃辣的肛门就痛，得了痔疮，苏州哪家医院看痔疮好？	病症推荐医院
服用索里昂后精神不能集中咋办幻听有三年之久发现有三个月服药...	其他无法确定
阜阳专治癫痫病的医院？？发作时脸色发青，手脚抽搐，流口水，无意识,脘腹胀满,腹痛，发病有三年时间了。大概是因为高烧治疗不及时而导致得癫痫发作，现在想去治疗了然后结婚，哪里能治疗癫痫？	病症推荐医院
怀孕38周，刚喝了花旗参茶马上测血糖，会不会影响血糖的准确性？	其他无法确定
子宫切除后可以吃安怡奶粉吗？主要是左脚酸的抬不起来,晚上睡不着觉。会不会是缺钙引起的。	药物适用症
小儿患左胸部血管瘤有点肿、一开始以为是胎记、现看到不对劲去当地医院检查医生说是先天性血管瘤，内蒙古婴儿长在左胸的血管瘤危害大么？	病症严重性
输卵管癌会遗传吗	病症病因
你好，请问一下，喝酒3小时后服用了佐匹克隆片会产生毒性吗？	药物副作用
请问月经量非常少黑色带有黑色血丝是怎么回事？	病症病因
我今年65岁了，心率不齐，有糖尿病，步长稳心颗粒适合吗？	药物适用症
小孩心率不齐严重吗？	病症病因
您好！请问服盐酸丁螺环酮片后出现眩晕是副作用吗？	药物副作用
可能是因为我有家族性遗传的心脏病，我最近被查出患有不稳定性心绞痛，我心里很郁闷，我还不到40岁呢，我想问问，不稳定性心绞痛该吃什么药？	病症治疗方法
宝宝屁眼红怎么办	病症治疗方法
肺组织纤维化要注意什么呢	病症禁忌
我看到该药是具有治疗体型消瘦的作用的，就很想知道是不是可以用来改善我的不长肉的情况的。	病症临床表现(病症表现)
最近一段时间我发现我肛周起了好多疣状物，后来我在网上查了好多资料，感觉这个症状挺象是尖锐湿疣的，我还没有去做检查，我想知道我要是真得了这个病怎么治效果好?	病症治疗方法
我两个月前发现孩子小腿上的血管瘤，请问血管瘤会不会越长越宽，现在血管瘤凸出，深红色。请问医生该怎么去除血管瘤，内蒙古婴儿脚趾长的血管瘤很大咋治好呢？	病症临床表现(病症表现)
医生你好！我想咨询下患有高血压一级，吃罗布麻降压片效果好吗？	药物作用
就诊发现患尖锐湿疣，已经两个月了，期间做了两次激光和两次光动力，患处是外阴道和尿道口，有鸡冠状和豆粒状	病症临床表现(病症表现)
请问月经不调以前的孕酮片能吃吗？	药物作用
儿童抽动症如何诊断？	病症临床表现(病症表现)
我怀孕5个月.常有胃酸.胃疼.胃酸很严准	病症治疗方法
阿法骨化醇软胶囊适应于治疗哪种骨软化症？	药物适用症
阴道口和小阴唇内有不规则的小肉体，但是不确定是不是，3月突然看自己下面发现有这个东西的，今天看还是那样，不痛不痒没有异味，不确定是不是得了尖锐湿疣	病症相关病症
末次月经是2018.11.22，2019年1.2号孕酮是50.7，2019.1.10号晚上有流血，咖啡色的，2019.1.11号孕酮46是怎么回事	病症病因
产后长痔疮吃什么药？怎么预防痔疮发作？	其他多问
你好，请问，治疗抑郁症的盐酸度洛西汀肠溶胶囊能止痛吗？	药物作用
直接口服甘露醇什么作用	药物作用
失眠了快一个月了，我以为是心理疾病，去咨询心理老师，可老师认为我是窦性心动过缓，我想问一下窦性心动过缓对睡眠有影响吗？	病症严重性
关于追风透骨丸的说明书，上面是否有介绍用法用量呢？	药物用法
百优解的禁忌症有哪些？	药物禁忌
肛门里(可能是直肠吧)，有刺痛感(针扎感)，不是排便时，是坐着时	病症病因
尿道口红肿有炎症	病症临床表现(病症表现)
请问我能长期服用宫瘤清胶囊吗不会有什么不适吧	药物副作用
宝宝有点受凉以后嘴唇有点紫，饮食不规律，拉绿粑粑，两天了不见好转妈咪爱一直都吃……去医院大夫说心脏没问题，住院部医生说不排除心脏有问题，和肺炎要做心脏彩超，宝宝受凉之前嘴唇都是红润的，受凉之后就紫色的了，挺担心缺氧呀，先心病的怀疑	病症定义
能否停用阿司匹林肠溶片和立普妥	其他无法确定
金钱草喝山楂可以同时一起泡水喝吗？谢谢。。	其他养生
宝宝经常吐奶有的时候从鼻子里出来，这有问题吗？	病症临床表现(病症表现)
我前几天因为总是会有心慌、呼吸困难的问题就去医院检查，医生说我是低输出量心力衰竭，请问低输出量心力衰竭是什么意思？	病症定义
我想请问一下，尿频、尿急，一直想上厕所	病症临床表现(病症表现)
有哮喘病可以吃西洋鸭吗	病症禁忌
坐月子痔疮犯了怎么办	治疗方案方法
心绞痛的症状是什么引起的	病症定义
我脸上长满了痘，背上胸前也有，所以这个实在是比较麻烦的很了。	其他整容
拔完牙后吃了布洛芬，不疼了，只是不知道他会持续多长时间	药物作用
癫痫这是一种同时具有突发性和反复性的疾病，也正是这两种特征，导致了癫痫病被大家一直误认为是不治之症，其实这种想法是错误的，癫痫病是可以治愈的，患者不必担心，那么究竟癫痫如何才能治愈呢？	病症治疗方法
坐月的时候肠胃不好怎么办?	病症治疗方法
请问我妈妈心衰前胸和后背疼痛可以吃心宝丸吗?谢谢！	药物适用症
您好请问氢溴酸西酞普兰片喜普妙是降压药吗急急急急急急谢谢	药物作用
过敏性哮喘怎么治疗	病症治疗方法
大便干燥一粒一粒的形状，额头有虚汗，头比较昏沉，走起路来有时候走不稳，而且身上一出汗就有一种别人靠近就会用力吸气，或者咳嗽，	其他无法确定
山香清火片类型及成份是有那些呢？	药物成分
蚌埠有治癫痫病的吗？？我哥在很小的时候就患上了癫痫病，据我妈说当时医生说我哥这种癫痫病属于原发型的癫痫病，最好用药物治疗，可是从那时吃药一直到现在情况并不好，每年都会发病个两三次，所以我爸想通过手术治疗来解决这个问题，但我还是有些担心，所以特来咨询这个病的最科学的治疗方法。	病症推荐医院
你好，从最近一段时间，我就经常感到呼吸困难。到医院检查后，医生说我得了慢阻肺，我想问下慢阻肺的危害有多大？	病症严重性
每个小儿第一次发作癫痫的严重程度都不同，有些孩子，在发病之间，就已经表现出了烦躁不安，情绪波动较大等前兆，家长要尽快把孩子送到医院，那么现在儿童癫痫治愈率是多少呢？	病症治愈率
最近腰部有点疼痛，不知道服用健脑补肾丸对治疗腰疼有帮助吗？	药物适用症
外婆有糖尿病肾病，想知道糖尿病肾病患者禁食什么？过节的时候出去吃饭要注意什么?	病症禁忌
最近每次做爱老是很快就射精了，所以听说佐吃匹克隆片有补肾的壮阳的功能还能管睡不着觉，就想买了试下。	药物作用
你好，我想大概问个问题啊牛黄降压丸吃多长时间好谢谢啊	药物用法
那个盐酸异丙肾上腺素气雾剂，有吗谢谢	其他无法确定
你好，听说酮洛芬凝胶治疗骨关节炎效果不错，请问生产厂家有几家？法斯通是哪生产的？	其他多问
我是女士，小便疼痛，憋不住尿，吃这个要可以吗吃甲硝唑和妇炎康不管用怎么办	药物适用症
大姨之前身体挺健康的，还可以干点重活什么的。但是最近发现自己老是犯头痛病，于是就去医院做检查，医生说可能是癫痫病，癫痫病怎样能控制好呢？	病症治疗方法
身体不舒服好几天了，刚开始的发热，怕冷而且还会冒虚汗，本以为只是小感冒就没有太在意。但是最近病情好像加重了，还会出现心疼，听人说可能是急性心肌梗塞。请问一下急性心肌梗塞的临床症状是什么？	病症临床表现(病症表现)
爸是肺癌晚期，前几天不吃饭，这几天猛吃	病症临床表现(病症表现)
小孩消化不良拉肚子	其他无法确定
癫痫是一个让大部分人都不会晓得的病情，这样的病情对人体健康的伤害很大，而且它会使得癫痫病病人语言、智力不断下降，所以在面对这样顽固疾病上，许多人都是比较害怕的，那癫痫频繁发作怎么治呢，癫痫癫痫病病人顽固疾发病作的时候，也是须要一些救助手段，否则对病人生命有伤害。	病症定义
阜阳治疗儿童癫痫的医院？？我现在是一家公司的职员，患有癫痫病已经很多年，最近因为经常的出差导致病情反复的发作，我想问一下癫痫是怎么回事治疗癫痫病最好方法有哪些？	病症推荐医院
前段时间跟男朋友第一次发生关系，而且我们交往的时间也不长，听说他以前就有过很多女朋友，后来他告诉我他可能得了尖锐湿疣，我很怕我也被传染了，想知道早期症状是什么样的？	病症相关病症
阜阳癫痫专业医院？？侄子现在正读高三，被诊断患有羊癫风，一般晚上才会发作，全身出冷汗，有吞咽、时间很短几十秒，以前有嘴角抽，现在最明显是出冷汗，全身都湿，一般都在睡下使发作。这次发现已有半年。	病症推荐医院
我是内外痔都有，前几天刚做了内痔，打的针，大夫说是起硬化作用。因为我的外痔比较严重，每次大便后都不敢坐，走路都要八字走，大夫把外痔给我塞里边去了，怎么弄的我不清楚，今天是第6天了，我每次大便都很是费劲，而且大便很细，但不干，每天都要排便3次以上，有下坠的感觉，应该是外痔堵住了大便，我想请教下医生我现在应该怎么治疗？谢谢指点！	病症治疗方法
怀孕，喝了九典痔疮胶囊，孩子能要吗？有多大影响？	其他多问
我家宝宝是不是便秘	病症预防
请问这款百优解盐酸氟西汀胶囊主要用来治疗什么的	药物适用症
右后背脊柱右不舒是什么毛病？CT右肺条索阴影	病症病因
生殖器疱疹该怎么治疗，请求指导，费用是多少，生殖器疱疹可以痊愈么，我是刚发现的，现在好害怕	病症治疗方法
我想请问一下医生，这个治疗失眠的药品柏子养心丸怎么样	药物作用
我想请问一下，小便赤黄，喉咙痛嘴里干苦哪里有问题呢	病症病因
宝宝现在四十七天，出生的时候只有一点点，现在差不多跟中手指头那么大一块了，去县城医院看过了，说是血管瘤，可是这里没有治疗条件，内蒙古婴儿手上长的血管瘤危害会不会很大？	病症严重性
孩子口腔上检查见大小约5.8*1.6的混合回声团，团快内可见多个0.3-0.4的强回声，余为低中回声，距体表约0.6，团快内雪流信号教丰富，是不是血管瘤，如果是血管瘤的话，内蒙古婴儿口腔有血管瘤能治不？	病症治愈率
病后体虚，失眠应该服用什么药比较有效？有哪些需要注意的？	病症治疗方法
得了浅表凹陷型腺瘤后应该注意些什么？会转变成癌症吗	其他多问
阜阳癫痫病医院哪家最好？？出车祸以后有的癫痫，在吃德巴金，一个月还会发一次，但是不严重，就是不会说话。那么，脑外伤羊角风治疗方法是什么	其他多问
患者性别：男患者年龄：47我患糖尿病2型8年想注射胰岛素我的餐前血糖值平均为8餐后平均为13我一次应该注射多少单位的胰岛素呢长效胰岛素一次注射多少单位短效一次注射多少单位呢	药物适用症
男，52岁，脑血栓，在服用华法林钠片，想咨询一下服用华法林钠片饮食上需要注意些什么？	药物禁忌
外痔自己会好吗	病症治疗方法
你好，可否介绍一下，法斯通酮洛芬凝胶是哪里生产的药物呢？	其他无法确定
经医院检查结核性胸膜炎，服药金水宝，利福平等药，这种药使用后会有哪些不良反应呢？	药物副作用
月子里大便干便秘怎么办，大便次数少，每次便后出血疼痛，痔疮膏用过了疼痛轻了，大便一干就又复发了，已经在吃青菜了没什么好的效果，有没有比较好的办法，现在在月子哺乳期，床上待的时间较长	其他无法确定
小孩便血怎么回事	病症治疗方法
我得了尖锐湿疣，可是我怕会传染给我孩子，1岁半，我想问问我平时该注意些什么？	其他多问
贵州那就医院看癫痫疾病好？？急急急！！！	病症推荐医院
结缔组织外痔有哪些治疗方法和药物？	其他无法确定
孩子尿床2-3次、基本便干2天一解（有臭味）、脊椎裂、上半身及头部爱出汗、小便清长（尿量多）、智力稍差、反复（时续）要咳且轻微吐、有点易感冒、睡姿喜欢趴着睡或侧睡，小孩晚上基本上是2-3次尿床偶尔（只是下雨天）有4次尿床的习惯,尿清而长（洒出来的尿量多）。睡眠作息习惯准时（一般晚上21：00睡，早上6：30起床），晚上中途不叫不会自己醒来洒尿，睡的有一点点沉，睡姿喜欢趴着睡或侧睡。该怎么办啊？哈尔滨儿童遗尿症如何治疗好	其他多问
盐酸小辟碱片，吃了会拉肚子么？	药物副作用
我家宝宝六个月了，拉肚子怎么办	病症治疗方法
儿子15个月大，长的是口腔血管瘤；而且是混合型的，内蒙古婴儿得了血管瘤治疗时间在什么时候好？	治疗方案治疗时间
昨晚吃了3片三挫伦，出现心慌了一天怎么办	病症治疗方法
贴痔疮贴有用吗？能彻底治疗吗？	其他多问
失眠症，闭上眼就像是放电影一样的啊太难受了	病症临床表现(病症表现)
变异性哮喘是什么疾病?	病症定义
今天洗脸的时候发现脸上有一些白斑，面积不是很大，去医院医生说是白癜风	病症临床表现(病症表现)
尿频,尿痛,尿不尽是怎么回事	病症病因
宝贝感冒了请问喝什么药	病症治疗方法
你好请问一下四磨汤口服液是止吐药吗我很需要这种药物可以给我.	药物适用症
变异性哮喘不可以根治吗	病症治疗方法
稳心颗粒。有什么作用？有效果吗	药物作用
阜阳癫痫治疗中心？？我现在有个孩子，今年四岁了，可是呢，在一个月内竟然发生了两次癫痫症状，真是苦恼，去医院看了，也没有什么好的效果呀，现在还在坚持治疗着，想着，在这里问下专家，有没有什么更好的方法呀。	其他多问
杨医生，您好，比如说吃了5年精神药品停药了会复发吗？谢谢	治疗方案恢复
治糖尿病和高血压的方法治糖尿病和高血压的方法，期间我要怎么做配合治疗	其他无法确定
胸部神经针扎一样的痛请问是怎么了	病症临床表现(病症表现)
心绞痛怎么引起的原因	病症病因
变异性哮喘怎么治?	病症治疗方法
请问医生肾结石吃什么药好的快	病症治疗方法
高血压吃点什么好呢？	药物成分
早孕检查流程是怎样的呢？	治疗方案化验/体检方案
请问胎儿发育异常是什么原因？	病症病因
近年来癫痫的发病率越来越高，儿童是其中的高发人群，因为癫痫病是一种难以治愈的疾病，所以要积极的预防儿童癫痫，儿童癫痫的预防措施有什么？	病症预防
什么原因引起心绞痛	病症定义
患上了癫痫饮食是很有必要的，癫痫患者要注意本人的一些事项，癫痫患者在日常生活中要选择好的饮食的习俗，日常生活中人们要注意护理事项	其他无法确定
长痔疮能吃虾吗？	病症禁忌
我现在是内痔初期，要如何治疗好呢	治疗方案方法
我家宝宝一岁8个月，胳膊上有个血管瘤，医生说让做手术，这么小做合适吗？什么季节好，恢复快吗,内蒙古婴儿得了血管瘤哪里治较好？	其他多问
现在有不少癫痫患者长期服药却仍然不能控制发作。癫痫长期不能控制的原因很多，那么这些患者癫痫发作长期不能控制的原因有：	病症病因
两岁半的小孩肠胃怎么调养	其他养生
请问服用什么药可以延迟月经？	药物适用症
医生您好，我女性50岁，血糖偏高（餐前7~9点），有多年慢性支气管炎，秋冬季感冒会引起咳嗽长达一个多月甚至更长时间，每天早起洗漱喉咙里会咳出块状痰，最近早起洗漱感觉痰在喉咙更深部咳不干净，请问这种情况是肺癌前兆吗？谢谢医生	病症预防
恒古骨伤愈合剂类型及成份是有那些呢？	药物成分
流鼻涕，咳嗽，咳的时候声音是破响破响的，感觉喉咙有痰	病症病因
尿道感染吃什么药呢？	药物适用症
心绞痛会放射到喉咙和气管吗	病症临床表现(病症表现)
你好！我高压150低压100服用什么药降压	药物成分
刚才大便后，肛门掉出一团肉，疑似痔疮，怎么办啊？	病症临床表现(病症表现)
